XAUJPY Historical Data (Extended with Synthetic)
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/05/2026 00:00,686434.0,690933.0,686180.0,690550.0,4116.0,0.6,
01/04/2026 23:00,682391.0,686944.0,681525.0,686373.0,3982.0,0.58,
01/02/2026 21:00,679470.0,679609.0,678507.0,679410.9,-59.1,-0.01,
01/02/2026 20:00,677312.0,679493.0,677140.0,679455.0,2143.0,0.32,
01/02/2026 19:00,677233.5,678889.0,677233.5,677328.0,94.5,0.01,
01/02/2026 18:00,677635.0,678008.0,676162.0,676885.0,-750.0,-0.11,
01/02/2026 17:00,678038.0,679204.0,677691.0,677957.0,-81.0,-0.01,
01/02/2026 16:00,678791.0,679188.0,675845.0,677825.0,-966.0,-0.14,
01/02/2026 15:00,682719.0,683368.0,678414.0,680304.0,-2415.0,-0.35,
01/02/2026 14:00,685002.0,686095.0,681991.0,683275.0,-1727.0,-0.25,
01/02/2026 13:00,689624.0,690554.0,684461.0,685003.0,-4621.0,-0.67,
01/02/2026 12:00,689343.0,690236.0,688381.0,689658.0,315.0,0.05,
01/02/2026 11:00,689473.0,690264.0,688949.0,689340.0,-133.0,-0.02,
01/02/2026 10:00,688107.0,689961.0,687685.0,689510.0,1403.0,0.2,
01/02/2026 09:00,688209.0,688776.0,687249.0,688060.0,-149.0,-0.02,
01/02/2026 08:00,687386.0,690034.0,687260.0,688193.0,807.0,0.12,
01/02/2026 07:00,686628.0,687615.0,685873.0,687415.0,787.0,0.11,
01/02/2026 06:00,687313.0,687423.0,686251.0,686644.0,-669.0,-0.1,
01/02/2026 05:00,685801.0,687414.0,685433.0,687302.0,1501.0,0.22,
01/02/2026 04:00,685591.0,686271.0,685364.0,685745.0,154.0,0.02,
01/02/2026 03:00,683545.0,685652.0,683296.0,685594.0,2049.0,0.3,
01/02/2026 02:00,680997.0,683562.0,680395.0,683544.0,2547.0,0.37,
01/02/2026 01:00,681604.0,682002.0,680153.0,680997.0,-607.0,-0.09,
01/02/2026 00:00,681520.0,681959.0,680413.0,681637.0,117.0,0.02,
01/01/2026 23:00,678781.0,682083.0,677905.0,681433.0,2652.0,0.39,
12/31/2025 22:00,678614.4,678614.4,678614.4,678614.4,0.0,0.0,
12/31/2025 19:00,677757.0,677985.0,675086.0,675666.0,-2091.0,-0.31,
12/31/2025 18:00,677676.1,679370.0,677092.0,677709.0,32.9,0.0,
12/31/2025 17:00,677914.0,678923.0,677030.0,677818.0,-96.0,-0.01,
12/31/2025 16:00,679837.0,679998.0,677244.0,677547.0,-2290.0,-0.34,
12/31/2025 15:00,681986.0,682020.0,678933.0,679508.0,-2478.0,-0.36,
12/31/2025 14:00,681473.0,682289.0,679834.0,682042.0,569.0,0.08,
12/31/2025 13:00,675501.0,681832.0,674812.0,681469.0,5968.0,0.88,
12/31/2025 12:00,675077.0,676314.0,673838.0,675496.0,419.0,0.06,
12/31/2025 11:00,674597.0,676110.0,674275.0,675114.0,517.0,0.08,
12/31/2025 10:00,677533.0,678458.0,673989.0,674568.0,-2965.0,-0.44,
12/31/2025 09:00,674505.0,679167.0,674505.0,677543.0,3038.0,0.45,
12/31/2025 08:00,678024.0,678358.0,673913.0,674532.0,-3492.0,-0.52,
12/31/2025 07:00,677839.0,678902.0,677200.0,678076.0,237.0,0.03,
12/31/2025 06:00,671080.0,677896.0,669266.0,677800.0,6720.0,0.99,
12/31/2025 05:00,678572.0,680007.0,669488.0,671017.0,-7555.0,-1.13,
12/31/2025 04:00,680441.0,680956.0,678261.0,678537.0,-1904.0,-0.28,
12/31/2025 03:00,680467.0,682123.0,679201.0,680446.0,-21.0,0.0,
12/31/2025 02:00,682908.0,683798.0,680197.0,680447.0,-2461.0,-0.36,
12/31/2025 01:00,679052.0,683865.0,678236.0,682892.0,3840.0,0.56,
12/31/2025 00:00,678509.0,679964.0,677645.0,679063.0,554.0,0.08,
12/30/2025 23:00,678985.0,679549.0,677195.0,678546.0,-439.0,-0.06,
12/30/2025 21:00,679622.0,680753.0,678130.0,678693.0,-929.0,-0.14,
12/30/2025 20:00,680810.0,681709.0,679075.0,679577.0,-1233.0,-0.18,
12/30/2025 19:00,682947.0,683662.0,679092.0,680772.0,-2175.0,-0.32,
12/30/2025 18:00,683468.0,684705.0,682624.0,682947.0,-521.0,-0.08,
12/30/2025 17:00,684343.0,684807.0,682750.0,683440.0,-903.0,-0.13,
12/30/2025 16:00,681934.2,684636.0,681075.6,684352.0,2417.8,0.35,
12/30/2025 15:00,682620.0,684999.0,681961.0,683009.0,389.0,0.06,
12/30/2025 14:00,685718.0,686556.0,681006.0,682633.0,-3085.0,-0.45,
12/30/2025 13:00,686634.0,687281.0,683500.0,685746.0,-888.0,-0.13,
12/30/2025 12:00,683722.0,686940.0,683590.0,686626.0,2904.0,0.42,
12/30/2025 11:00,683779.0,684446.0,683347.0,683713.0,-66.0,-0.01,
12/30/2025 10:00,681974.0,684596.0,680981.0,683654.0,1680.0,0.25,
12/30/2025 09:00,681124.0,682499.0,681069.0,682012.0,888.0,0.13,
12/30/2025 08:00,682295.0,682472.0,678546.0,681108.0,-1187.0,-0.17,
12/30/2025 07:00,681335.0,683795.0,680483.0,682285.0,950.0,0.14,
12/30/2025 06:00,683385.0,683467.0,680360.0,681332.0,-2053.0,-0.3,
12/30/2025 05:00,681330.0,683711.0,680430.0,683382.0,2052.0,0.3,
12/30/2025 04:00,681491.0,682644.0,680857.0,681326.0,-165.0,-0.02,
12/30/2025 03:00,682175.0,683173.0,680961.0,681491.0,-684.0,-0.1,
12/30/2025 02:00,681420.0,682551.0,679987.0,682163.0,743.0,0.11,
12/30/2025 01:00,678390.0,681429.0,676177.0,681420.0,3030.0,0.44,
12/30/2025 00:00,678214.0,679265.0,677328.0,678381.0,167.0,0.02,
12/29/2025 23:00,676207.0,678651.0,675029.0,678233.0,2026.0,0.3,
12/29/2025 21:00,677238.0,677924.0,675659.0,676751.0,-487.0,-0.07,
12/29/2025 20:00,677448.0,678498.0,675713.0,677275.0,-173.0,-0.03,
12/29/2025 19:00,677402.0,678215.0,676822.0,677456.0,54.0,0.01,
12/29/2025 18:00,676092.7,677811.0,675294.4,677394.0,1301.3,0.19,
12/29/2025 17:00,678505.0,678682.0,674576.0,675736.0,-2769.0,-0.41,
12/29/2025 16:00,675218.0,678291.0,674999.0,676689.0,1471.0,0.22,
12/29/2025 15:00,681561.0,681612.0,672110.0,677089.0,-4472.0,-0.66,
12/29/2025 14:00,691549.0,691549.0,680923.0,683451.0,-8098.0,-1.18,
12/29/2025 13:00,698695.0,699000.0,689246.0,691497.0,-7198.0,-1.04,
12/29/2025 12:00,696239.0,698817.0,696141.0,698700.0,2461.0,0.35,
12/29/2025 11:00,698100.0,699084.0,693812.0,696245.0,-1855.0,-0.27,
12/29/2025 10:00,699825.0,700127.0,697141.0,698100.0,-1725.0,-0.25,
12/29/2025 09:00,697887.0,699974.0,697348.0,699807.0,1920.0,0.27,
12/29/2025 08:00,698809.0,701922.0,696462.0,697909.0,-900.0,-0.13,
12/29/2025 07:00,698881.9,700678.0,695746.2,699101.0,219.1,0.03,
12/29/2025 06:00,703916.0,704759.0,698531.4,698531.4,-5384.6,-0.77,
12/29/2025 05:00,705952.0,706231.2,704559.5,704559.5,-1392.5,-0.2,
12/29/2025 04:00,706244.4,706367.2,705317.7,706027.8,-216.6,-0.03,
12/29/2025 03:00,705862.9,706471.2,705295.2,706191.2,328.3,0.05,
12/29/2025 02:00,702823.2,706381.3,702823.2,705613.3,2790.1,0.4,
12/29/2025 01:00,702867.6,705588.9,702341.9,702750.4,-117.2,-0.02,
12/29/2025 00:00,709142.0,709142.0,706060.0,706744.0,-2398.0,-0.34,
12/28/2025 23:00,711754.0,712134.0,707923.0,709066.0,-2688.0,-0.38,
12/26/2025 21:00,709084.0,709825.0,708542.0,709470.0,386.0,0.05,
12/26/2025 20:00,707981.0,709738.0,707687.0,709091.0,1110.0,0.16,
12/26/2025 19:00,709285.4,709953.4,707657.1,708032.4,-1253.0,-0.18,
