XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/05/2026 00:00,686434,690933,686180,690550,4116,0.60,
01/04/2026 23:00,682391,686944,681525,686373,3982,0.58,
01/02/2026 21:00,679470,679609,678507,679410.9,-59.1,-0.01,
01/02/2026 20:00,677312,679493,677140,679455,2143,0.32,
01/02/2026 19:00,677233.5,678889,677233.5,677328,94.5,0.01,
01/02/2026 18:00,677635,678008,676162,676885,-750,-0.11,
01/02/2026 17:00,678038,679204,677691,677957,-81,-0.01,
01/02/2026 16:00,678791,679188,675845,677825,-966,-0.14,
01/02/2026 15:00,682719,683368,678414,680304,-2415,-0.35,
01/02/2026 14:00,685002,686095,681991,683275,-1727,-0.25,
01/02/2026 13:00,689624,690554,684461,685003,-4621,-0.67,
01/02/2026 12:00,689343,690236,688381,689658,315,0.05,
01/02/2026 11:00,689473,690264,688949,689340,-133,-0.02,
01/02/2026 10:00,688107,689961,687685,689510,1403,0.20,
01/02/2026 09:00,688209,688776,687249,688060,-149,-0.02,
01/02/2026 08:00,687386,690034,687260,688193,807,0.12,
01/02/2026 07:00,686628,687615,685873,687415,787,0.11,
01/02/2026 06:00,687313,687423,686251,686644,-669,-0.10,
01/02/2026 05:00,685801,687414,685433,687302,1501,0.22,
01/02/2026 04:00,685591,686271,685364,685745,154,0.02,
01/02/2026 03:00,683545,685652,683296,685594,2049,0.30,
01/02/2026 02:00,680997,683562,680395,683544,2547,0.37,
01/02/2026 01:00,681604,682002,680153,680997,-607,-0.09,
01/02/2026 00:00,681520,681959,680413,681637,117,0.02,
01/01/2026 23:00,678781,682083,677905,681433,2652,0.39,
12/31/2025 22:00,678614.4,678614.4,678614.4,678614.4,0.0,0.00,
12/31/2025 19:00,677757,677985,675086,675666,-2091,-0.31,
12/31/2025 18:00,677676.1,679370,677092,677709,32.9,0.00,
12/31/2025 17:00,677914,678923,677030,677818,-96,-0.01,
12/31/2025 16:00,679837,679998,677244,677547,-2290,-0.34,
12/31/2025 15:00,681986,682020,678933,679508,-2478,-0.36,
12/31/2025 14:00,681473,682289,679834,682042,569,0.08,
12/31/2025 13:00,675501,681832,674812,681469,5968,0.88,
12/31/2025 12:00,675077,676314,673838,675496,419,0.06,
12/31/2025 11:00,674597,676110,674275,675114,517,0.08,
12/31/2025 10:00,677533,678458,673989,674568,-2965,-0.44,
12/31/2025 09:00,674505,679167,674505,677543,3038,0.45,
12/31/2025 08:00,678024,678358,673913,674532,-3492,-0.52,
12/31/2025 07:00,677839,678902,677200,678076,237,0.03,
12/31/2025 06:00,671080,677896,669266,677800,6720,0.99,
12/31/2025 05:00,678572,680007,669488,671017,-7555,-1.13,
12/31/2025 04:00,680441,680956,678261,678537,-1904,-0.28,
12/31/2025 03:00,680467,682123,679201,680446,-21,0.00,
12/31/2025 02:00,682908,683798,680197,680447,-2461,-0.36,
12/31/2025 01:00,679052,683865,678236,682892,3840,0.56,
12/31/2025 00:00,678509,679964,677645,679063,554,0.08,
12/30/2025 23:00,678985,679549,677195,678546,-439,-0.06,
12/30/2025 21:00,679622,680753,678130,678693,-929,-0.14,
12/30/2025 20:00,680810,681709,679075,679577,-1233,-0.18,
12/30/2025 19:00,682947,683662,679092,680772,-2175,-0.32,
12/30/2025 18:00,683468,684705,682624,682947,-521,-0.08,
12/30/2025 17:00,684343,684807,682750,683440,-903,-0.13,
12/30/2025 16:00,681934.2,684636,681075.6,684352,2417.8,0.35,
12/30/2025 15:00,682620,684999,681961,683009,389,0.06,
12/30/2025 14:00,685718,686556,681006,682633,-3085,-0.45,
12/30/2025 13:00,686634,687281,683500,685746,-888,-0.13,
12/30/2025 12:00,683722,686940,683590,686626,2904,0.42,
12/30/2025 11:00,683779,684446,683347,683713,-66,-0.01,
12/30/2025 10:00,681974,684596,680981,683654,1680,0.25,
12/30/2025 09:00,681124,682499,681069,682012,888,0.13,
12/30/2025 08:00,682295,682472,678546,681108,-1187,-0.17,
12/30/2025 07:00,681335,683795,680483,682285,950,0.14,
12/30/2025 06:00,683385,683467,680360,681332,-2053,-0.30,
12/30/2025 05:00,681330,683711,680430,683382,2052,0.30,
12/30/2025 04:00,681491,682644,680857,681326,-165,-0.02,
12/30/2025 03:00,682175,683173,680961,681491,-684,-0.10,
12/30/2025 02:00,681420,682551,679987,682163,743,0.11,
12/30/2025 01:00,678390,681429,676177,681420,3030,0.44,
12/30/2025 00:00,678214,679265,677328,678381,167,0.02,
12/29/2025 23:00,676207,678651,675029,678233,2026,0.30,
12/29/2025 21:00,677238,677924,675659,676751,-487,-0.07,
12/29/2025 20:00,677448,678498,675713,677275,-173,-0.03,
12/29/2025 19:00,677402,678215,676822,677456,54,0.01,
12/29/2025 18:00,676092.7,677811,675294.4,677394,1301.3,0.19,
12/29/2025 17:00,678505,678682,674576,675736,-2769,-0.41,
12/29/2025 16:00,675218,678291,674999,676689,1471,0.22,
12/29/2025 15:00,681561,681612,672110,677089,-4472,-0.66,
12/29/2025 14:00,691549,691549,680923,683451,-8098,-1.18,
12/29/2025 13:00,698695,699000,689246,691497,-7198,-1.04,
12/29/2025 12:00,696239,698817,696141,698700,2461,0.35,
12/29/2025 11:00,698100,699084,693812,696245,-1855,-0.27,
12/29/2025 10:00,699825,700127,697141,698100,-1725,-0.25,
12/29/2025 09:00,697887,699974,697348,699807,1920,0.27,
12/29/2025 08:00,698809,701922,696462,697909,-900,-0.13,
12/29/2025 07:00,698881.9,700678,695746.2,699101,219.1,0.03,
12/29/2025 06:00,703916,704759,698531.4,698531.4,-5384.6,-0.77,
12/29/2025 05:00,705952,706231.2,704559.5,704559.5,-1392.5,-0.20,
12/29/2025 04:00,706244.4,706367.2,705317.7,706027.8,-216.6,-0.03,
12/29/2025 03:00,705862.9,706471.2,705295.2,706191.2,328.3,0.05,
12/29/2025 02:00,702823.2,706381.3,702823.2,705613.3,2790.1,0.40,
12/29/2025 01:00,702867.6,705588.9,702341.9,702750.4,-117.2,-0.02,
12/29/2025 00:00,709142,709142,706060,706744,-2398,-0.34,
12/28/2025 23:00,711754,712134,707923,709066,-2688,-0.38,
12/26/2025 21:00,709084,709825,708542,709470,386,0.05,
12/26/2025 20:00,707981,709738,707687,709091,1110,0.16,
12/26/2025 19:00,709285.4,709953.4,707657.1,708032.4,-1253.0,-0.18,
12/26/2025 18:00,707296.5,709305.0,706978.4,708972.6,1676.1,0.24,
12/26/2025 17:00,710529.1,710529.1,706941.6,707291.0,-3238.1,-0.46,
12/26/2025 16:00,710348.0,712214.0,710348.0,711263.0,915.0,0.13,
12/26/2025 15:00,707375.8,711390.0,707367.6,711016.5,3640.7,0.51,
12/26/2025 14:00,707302.3,708428.4,706652.6,707703.6,401.3,0.06,
12/26/2025 13:00,705034.4,707376.0,705034.4,707376.0,2341.6,0.33,
12/26/2025 12:00,705194.0,706178.2,705194.0,705736.7,542.7,0.08,
12/26/2025 11:00,706011.2,706069.1,704257.5,705029.8,-981.4,-0.14,
12/26/2025 10:00,706019.7,707290.1,705596.5,705911.0,-108.7,-0.02,
12/26/2025 09:00,706590.7,706768.6,705991.2,705991.2,-599.5,-0.08,
12/26/2025 08:00,705434.6,706255.9,705266.6,706244.1,809.5,0.11,
12/26/2025 07:00,705009.9,705529.6,704500.7,705250.5,240.6,0.03,
12/26/2025 06:00,704449.7,706013.8,704141.1,704979.4,529.7,0.08,
12/26/2025 05:00,703959.1,705152.4,703845.6,704439.2,480.1,0.07,
12/26/2025 04:00,702519.1,704435.1,702323.9,703939.1,1420.0,0.20,
12/26/2025 03:00,704272.9,705037.2,702441.6,702441.6,-1831.3,-0.26,
12/26/2025 02:00,703846.9,704206.5,702098.6,704206.5,359.6,0.05,
12/26/2025 01:00,706705.0,707938.6,703260.4,704013.8,-2691.2,-0.38,
12/26/2025 00:00,701651.0,702439.0,701561.0,702316.0,665.0,0.09,
12/25/2025 23:00,697914.0,701869.0,695342.0,701649.0,3735.0,0.53,
12/24/2025 18:00,698542.0,698908.0,698078.0,698313.0,-229.0,-0.03,
12/24/2025 17:00,697368.0,699481.8,697221.0,698557.0,1189.0,0.17,
12/24/2025 16:00,694544.4,697598.1,694077.0,697343.0,2798.6,0.40,
12/24/2025 15:00,695113.0,696978.0,692968.0,694403.0,-710.0,-0.10,
12/24/2025 14:00,699897.0,700180.0,694567.0,695291.0,-4606.0,-0.66,
12/24/2025 13:00,700425.0,700737.0,697734.0,699876.0,-549.0,-0.08,
12/24/2025 12:00,700051.0,700789.0,699873.0,700457.0,406.0,0.06,
12/24/2025 11:00,699757.0,700120.0,698740.0,700063.0,306.0,0.04,
12/24/2025 10:00,700153.0,701031.0,698513.0,699756.0,-397.0,-0.06,
12/24/2025 09:00,697957.0,700288.0,697798.0,700121.0,2164.0,0.31,
12/24/2025 08:00,698422.0,699879.0,697261.0,697830.0,-592.0,-0.08,
12/24/2025 07:00,699518.0,700141.0,698394.0,698394.0,-1124.0,-0.16,
12/24/2025 06:00,698936.0,700268.0,698006.0,699512.0,576.0,0.08,
12/24/2025 05:00,700816.0,700906.0,698476.0,698967.0,-1849.0,-0.26,
12/24/2025 04:00,700508.0,701262.0,700288.0,700823.0,315.0,0.04,
12/24/2025 03:00,697079.0,700817.0,696164.0,700536.0,3457.0,0.49,
12/24/2025 02:00,702901.0,703090.0,696570.0,696802.0,-6099.0,-0.88,
12/24/2025 01:00,703489.0,705240.0,702748.0,703004.0,-485.0,-0.07,
12/24/2025 00:00,702947.0,705248.0,702109.0,703476.0,529.0,0.08,
12/23/2025 23:00,700399.0,704380.0,700365.0,702946.0,2547.0,0.36,
12/23/2025 22:00,700682.4,700682.4,700682.4,700682.4,0.0,0.00,
12/23/2025 21:00,702700.0,702952.0,700143.0,700440.0,-2260.0,-0.32,
12/23/2025 20:00,701221.0,702976.0,700993.0,702802.0,1581.0,0.22,
12/23/2025 19:00,700360.0,702177.0,700360.0,701213.0,853.0,0.12,
12/23/2025 18:00,699138.8,700504.0,698793.0,700394.0,1255.2,0.18,
12/23/2025 17:00,699267.0,700020.0,698624.0,699558.0,291.0,0.04,
12/23/2025 16:00,697060.0,697693.0,696569.0,697181.0,121.0,0.02,
12/23/2025 15:00,695091.0,695791.0,692692.0,694265.0,-826.0,-0.12,
12/23/2025 14:00,700056.0,700319.0,696091.0,697097.0,-2959.0,-0.42,
12/23/2025 13:00,699724.0,701591.0,698900.0,699537.0,-187.0,-0.03,
12/23/2025 12:00,700664.0,700717.0,698898.0,699763.0,-901.0,-0.13,
12/23/2025 11:00,698964.0,700761.0,698728.0,700667.0,1703.0,0.24,
12/23/2025 10:00,698584.0,699663.0,698454.0,698957.0,373.0,0.05,
12/23/2025 09:00,700026.0,700069.0,697389.0,698580.0,-1446.0,-0.21,
12/23/2025 08:00,700007.0,700776.0,699446.0,700029.0,22.0,0.00,
12/23/2025 07:00,699396.0,700387.0,699034.0,700008.0,612.0,0.09,
12/23/2025 06:00,697873.0,699390.0,697366.0,699366.0,1493.0,0.21,
12/23/2025 05:00,698988.0,699456.0,697749.0,697914.0,-1074.0,-0.15,
12/23/2025 04:00,700470.0,700522.0,698783.0,698981.0,-1489.0,-0.21,
12/23/2025 03:00,702285.0,702649.0,700253.0,700537.0,-1748.0,-0.25,
12/23/2025 02:00,701733.0,702677.0,700663.0,702175.0,442.0,0.06,
12/23/2025 01:00,699909.0,702247.0,699599.0,701745.0,1836.0,0.26,
12/23/2025 00:00,699599.0,700500.0,699086.0,699889.0,290.0,0.04,
12/22/2025 23:00,698157.0,699773.0,698024.0,699618.0,1461.0,0.21,
12/22/2025 22:00,697754.6,697754.6,697754.6,697754.6,0.0,0.00,
12/22/2025 21:00,696820.0,698487.0,696764.0,697773.0,953.0,0.14,
12/22/2025 20:00,695602.0,696925.0,695470.0,696814.0,1212.0,0.17,
12/22/2025 19:00,696075.0,696185.0,695358.0,695607.0,-468.0,-0.07,
12/22/2025 18:00,696213.0,696613.0,695342.0,696078.0,-135.0,-0.02,
12/22/2025 17:00,696589.0,696803.0,694871.0,696127.0,-462.0,-0.07,
12/22/2025 16:00,695651.0,697025.0,695168.5,696580.0,929.0,0.13,
12/22/2025 15:00,693875.0,695879.0,693172.0,695672.0,1797.0,0.26,
12/22/2025 14:00,695330.0,695833.0,692841.0,694988.0,-342.0,-0.05,
12/22/2025 13:00,695027.0,695698.0,694029.0,695332.0,305.0,0.04,
12/22/2025 12:00,694185.0,695009.0,693551.0,695006.0,821.0,0.12,
12/22/2025 11:00,693909.0,694475.0,693414.0,694239.0,330.0,0.05,
12/22/2025 10:00,694585.0,694889.0,693503.0,693910.0,-675.0,-0.10,
12/22/2025 09:00,694498.0,695153.0,694321.0,694571.0,73.0,0.01,
12/22/2025 08:00,695201.0,695201.0,693909.0,694514.0,-687.0,-0.10,
12/22/2025 07:00,695338.0,695531.0,694178.0,695239.0,-99.0,-0.01,
12/22/2025 06:00,692410.0,695438.0,692110.0,695344.0,2934.0,0.42,
12/22/2025 05:00,691833.0,693720.0,691707.0,692375.0,542.0,0.08,
12/22/2025 04:00,691050.0,692188.0,690943.0,691850.0,800.0,0.12,
12/22/2025 03:00,690406.0,691532.0,690210.0,691028.0,622.0,0.09,
12/22/2025 02:00,689335.0,690695.0,688570.0,690374.0,1039.0,0.15,
12/22/2025 01:00,687646.0,689959.0,686598.0,689338.0,1692.0,0.25,
12/22/2025 00:00,686404.0,688148.0,686404.0,687657.0,1253.0,0.18,
12/21/2025 23:00,683420.0,686886.0,683371.0,686375.0,2955.0,0.43,
12/19/2025 21:00,684252.0,684478.4,683741.0,684452.1,200.1,0.03,
12/19/2025 20:00,684476.0,684748.0,683415.0,684310.0,-166.0,-0.02,
12/19/2025 19:00,684940.0,685453.0,684473.0,684473.0,-467.0,-0.07,
12/19/2025 18:00,685388.0,685756.0,683948.0,684935.0,-453.0,-0.07,
12/19/2025 17:00,684670.8,685850.0,684612.3,685386.0,715.2,0.10,
12/19/2025 16:00,684704.0,685663.0,683676.0,684598.0,-106.0,-0.02,
12/19/2025 15:00,681964.0,684253.0,681950.0,684247.0,2283.0,0.33,
12/19/2025 14:00,680914.0,682414.0,679256.0,681603.0,689.0,0.10,
12/19/2025 13:00,680320.0,682049.0,680233.0,680919.0,599.0,0.09,
12/19/2025 12:00,680732.0,680817.0,679618.0,680351.0,-381.0,-0.06,
12/19/2025 11:00,680822.0,681070.0,680356.0,680733.0,-89.0,-0.01,
12/19/2025 10:00,680587.0,681317.0,680273.0,680858.0,271.0,0.04,
12/19/2025 09:00,678862.0,680608.0,678359.0,680577.0,1715.0,0.25,
12/19/2025 08:00,677489.0,679156.0,677357.0,678869.0,1380.0,0.20,
12/19/2025 07:00,674925.0,677631.0,674511.0,677520.0,2595.0,0.38,
12/19/2025 06:00,674772.0,676338.0,674194.0,674972.0,200.0,0.03,
12/19/2025 05:00,674614.0,675016.0,673254.0,674748.0,134.0,0.02,
12/19/2025 04:00,673015.0,674667.0,672460.0,674598.0,1583.0,0.23,
12/19/2025 03:00,672578.0,674516.0,671666.0,673059.0,481.0,0.07,
12/19/2025 02:00,673254.0,673844.0,671905.0,672576.0,-678.0,-0.10,
12/19/2025 01:00,673764.0,674113.0,671144.0,673286.0,-478.0,-0.07,
12/19/2025 00:00,674388.0,674733.0,673680.0,673731.0,-657.0,-0.10,
12/18/2025 23:00,674234.0,674791.0,673944.0,674336.0,102.0,0.02,
12/18/2025 22:00,673851.4,673851.4,673851.4,673851.4,0.0,0.00,
12/18/2025 21:00,674532.0,674532.0,673352.0,673864.0,-668.0,-0.10,
12/18/2025 20:00,672589.9,674915.0,672589.9,674586.0,1996.1,0.30,
12/18/2025 19:00,674154.0,674480.0,672262.0,672485.0,-1669.0,-0.25,
12/18/2025 18:00,674413.0,675584.0,674095.0,674393.0,-20.0,0.00,
12/18/2025 17:00,678156.0,678719.0,672638.0,673937.0,-4219.0,-0.63,
12/18/2025 16:00,674655.0,680031.0,674638.0,678944.0,4289.0,0.63,
12/18/2025 15:00,673009.0,674970.0,672761.0,674903.0,1894.0,0.28,
12/18/2025 14:00,674704.0,675054.0,670693.0,671197.0,-3507.0,-0.52,
12/18/2025 13:00,673134.0,675153.0,672077.0,674887.0,1753.0,0.26,
12/18/2025 12:00,673878.0,674016.0,672521.0,673251.0,-627.0,-0.09,
