XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/01/2025 00:00,658181.0,662385.0,654328.3,657559.0,-622.0,-0.09,
11/30/2025 00:00,659887.0,659887.0,656218.0,658304.0,-1583.0,-0.24,
11/28/2025 00:00,649842.0,659845.0,647140.0,658582.0,8740.0,1.33,
11/27/2025 00:00,650550.0,651377.0,646225.0,650639.0,89.0,0.01,
11/26/2025 00:00,645629.0,653157.0,645308.0,650548.0,4919.0,0.76,
11/25/2025 00:00,650110.0,650997.0,641007.0,645556.0,-4554.0,-0.71,
11/24/2025 00:00,638450.0,650257.0,632395.0,650132.0,11682.0,1.80,
11/23/2025 00:00,636983.0,638771.0,636593.0,638441.0,1458.0,0.23,
11/21/2025 00:00,641960.0,642627.0,630368.0,635735.9,-6224.1,-0.98,
11/20/2025 00:00,644347.0,647139.0,635511.0,641928.0,-2419.0,-0.38,
11/19/2025 00:00,632867.0,647359.0,630665.0,644341.0,11474.0,1.78,
11/18/2025 00:00,626806.0,634887.0,619752.0,633990.0,7184.0,1.13,
11/17/2025 00:00,633186.0,634006.0,622097.0,626781.0,-6405.0,-1.02,
11/16/2025 00:00,630918.0,634663.0,628771.0,633233.0,2315.0,0.37,
11/14/2025 00:00,647233.0,650331.0,621118.0,630886.0,-16347.0,-2.59,
11/13/2025 00:00,648325.0,656285.0,639812.0,647229.0,-1096.0,-0.17,
11/12/2025 00:00,638189.0,651219.0,633461.0,648325.0,10136.0,1.56,
11/11/2025 00:00,635075.0,639979.0,630814.0,638260.0,3185.0,0.50,
11/10/2025 00:00,614941.0,635365.0,614904.0,635055.0,20114.0,3.17,
11/09/2025 00:00,614941.0,617141.0,614904.0,617091.0,2150.0,0.35,
11/07/2025 00:00,610042.0,616454.0,609361.0,613607.7,3565.7,0.58,
11/06/2025 00:00,612226.0,617661.0,606225.0,610093.0,-2133.0,-0.35,
11/05/2025 00:00,604115.0,615274.0,602382.0,612222.0,8107.0,1.32,
11/04/2025 00:00,616415.0,617141.0,603019.0,604131.0,-12284.0,-2.03,
11/03/2025 00:00,613597.0,621043.0,610976.0,616403.0,2806.0,0.46,
11/02/2025 00:00,614318.0,616404.0,613241.0,613767.0,-551.0,-0.09,
10/31/2025 00:00,621197.0,622091.0,612745.0,616157.1,-5039.9,-0.82,
10/30/2025 00:00,603610.0,623420.0,596271.0,621207.0,17597.0,2.83,
10/29/2025 00:00,601566.0,613598.0,598108.0,603614.0,2048.0,0.34,
10/28/2025 00:00,610473.0,612593.0,590674.0,601575.0,-8898.0,-1.48,
10/27/2025 00:00,622166.0,625963.0,607917.0,610516.0,-11650.0,-1.91,
10/26/2025 00:00,624321.5,628891.0,621661.0,622123.0,-2198.5,-0.35,
10/24/2025 00:00,629979.0,632870.0,618648.0,628732.0,-1247.0,-0.20,
10/23/2025 00:00,621226.0,634088.0,619066.0,628905.0,7679.0,1.22,
10/22/2025 00:00,621630.0,631467.0,607696.0,621258.0,-372.0,-0.06,
10/21/2025 00:00,657578.0,658626.0,620362.2,621626.0,-35952.0,-5.78,
10/20/2025 00:00,639477.0,660230.0,636010.0,657585.0,18108.0,2.75,
10/19/2025 00:00,639667.0,644226.0,638703.0,639503.0,-164.0,-0.03,
10/17/2025 00:00,655363.0,656786.0,629737.0,640325.3,-15037.7,-2.35,
10/16/2025 00:00,635560.0,658009.0,634492.0,655466.0,19906.0,3.04,
10/15/2025 00:00,631296.0,638447.0,629635.0,635545.0,4249.0,0.67,
10/14/2025 00:00,629289.0,634972.0,620871.0,631285.0,1996.0,0.32,
10/13/2025 00:00,613552.0,629602.0,611685.0,629301.0,15749.0,2.50,
10/12/2025 00:00,609206.0,616435.0,609160.0,613546.0,4340.0,0.71,
10/10/2025 00:00,610456.0,612221.0,602753.0,607323.3,-3132.7,-0.52,
10/09/2025 00:00,612614.0,619763.0,603839.0,610499.0,-2115.0,-0.35,
10/08/2025 00:00,607314.0,620121.0,606834.0,612571.0,5257.0,0.86,
10/07/2025 00:00,596817.0,607452.0,593243.0,607330.0,10513.0,1.73,
10/06/2025 00:00,584734.0,597602.0,583453.0,596838.0,12104.0,2.03,
10/05/2025 00:00,579723.0,585357.0,579418.0,584746.0,5023.0,0.86,
10/03/2025 00:00,568343.0,573700.0,566806.0,573182.5,4839.5,0.84,
10/02/2025 00:00,568323.0,573076.0,563209.0,568329.0,6.0,0.00,
10/01/2025 00:00,571777.0,573257.0,567120.0,568306.0,-3471.0,-0.61,
09/30/2025 00:00,569635.0,574471.0,561133.0,571773.0,2138.0,0.37,
09/29/2025 00:00,562782.0,569671.0,561847.0,569600.0,6818.0,1.20,
09/28/2025 00:00,561830.0,563669.0,561830.0,562793.0,963.0,0.17,
09/26/2025 00:00,561176.0,566083.0,559127.0,562197.7,1021.7,0.18,
09/25/2025 00:00,556833.0,563154.0,554577.0,561192.0,4359.0,0.78,
09/24/2025 00:00,555482.0,560976.0,553416.0,556847.0,1365.0,0.25,
09/23/2025 00:00,553639.0,559841.0,552196.0,555497.0,1858.0,0.33,
09/22/2025 00:00,545889.0,553917.0,545848.0,553626.0,7737.0,1.40,
09/21/2025 00:00,544940.0,546234.0,544726.0,545893.0,953.0,0.17,
09/19/2025 00:00,538583.0,545332.5,537849.0,545332.5,6749.5,1.24,
09/18/2025 00:00,538942.0,541897.0,535782.0,538555.0,-387.0,-0.07,
09/17/2025 00:00,540837.0,541003.0,534679.7,538891.0,-1946.0,-0.36,
09/16/2025 00:00,541945.0,543902.0,539355.0,540835.0,-1110.0,-0.21,
09/15/2025 00:00,537232.0,543157.0,535046.0,541952.0,4720.0,0.87,
09/14/2025 00:00,538487.0,538577.0,537016.0,537230.0,-1257.0,-0.23,
09/12/2025 00:00,534636.0,539913.0,534498.0,538124.6,3488.6,0.65,
09/11/2025 00:00,537062.0,537694.0,533334.3,534675.0,-2387.0,-0.45,
09/10/2025 00:00,534280.0,539265.0,533808.0,537057.0,2777.0,0.52,
09/09/2025 00:00,535663.0,538837.0,534003.0,535526.0,-137.0,-0.03,
09/08/2025 00:00,532588.0,538362.0,530262.0,535623.0,3035.0,0.57,
09/07/2025 00:00,530266.0,533386.0,530266.0,532595.0,2329.0,0.44,
09/05/2025 00:00,526036.0,530299.0,525153.0,528672.0,2636.0,0.50,
09/04/2025 00:00,526826.0,528643.0,520310.0,527236.0,410.0,0.08,
09/03/2025 00:00,524466.0,529523.0,524031.0,526811.0,2345.0,0.45,
09/02/2025 00:00,511718.0,525162.0,511610.0,524460.0,12742.0,2.43,
09/01/2025 00:00,507223.0,512572.0,506388.0,511734.0,4511.0,0.88,
