XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/05/2026 00:00,686434,688074,686180,687816,1382,0.20,
01/04/2026 23:45,684632,686944,684561,686373,1741,0.25,
01/04/2026 23:30,684769,684769,683141,684659,-110,-0.02,
01/04/2026 23:15,684947,685327,683569,684859,-88,-0.01,
01/04/2026 23:00,682391,685005,681525,684915,2524,0.37,
01/02/2026 21:45,678963,679609,678963,679410.9,447.9,0.07,
01/02/2026 21:30,678756,679007,678690,678962,206,0.03,
01/02/2026 21:15,678891,678971,678656,678778,-113,-0.02,
01/02/2026 21:00,679470,679531,678507,678873,-597,-0.09,
01/02/2026 20:45,678738,679493,678664,679455,717,0.11,
01/02/2026 20:30,679035,679198,678572,678713,-322,-0.05,
01/02/2026 20:15,677659,679161,677474,679050,1391,0.20,
01/02/2026 20:00,677312,677884,677140,677642,330,0.05,
01/02/2026 19:45,678297,678326,677288,677328,-969,-0.14,
01/02/2026 19:30,677759,678889,677688,678276,517,0.08,
01/02/2026 19:15,678189,678393,677489,677744,-445,-0.07,
01/02/2026 19:00,677233.5,678314,677233.5,678154,920.5,0.14,
01/02/2026 18:45,676647,677155,676641,676885,238,0.04,
01/02/2026 18:30,677519,677693,676657,677257,-262,-0.04,
01/02/2026 18:15,676747,677658,676162,677357,610,0.09,
01/02/2026 18:00,677635,677867,677365,677759,124,0.02,
01/02/2026 17:45,678114,678391,677888,677957,-157,-0.02,
01/02/2026 17:30,678495,678855,678459,678750,255,0.04,
01/02/2026 17:15,678626.2,678747.4,677898.4,678425.3,-200.9,-0.03,
01/02/2026 17:00,677844.8,678960.6,677844.8,678647.5,802.7,0.12,
01/02/2026 16:45,677798.8,678229.8,677537.1,677689.5,-109.3,-0.02,
01/02/2026 16:30,676543,677528.8,676195.9,677528.8,985.8,0.15,
01/02/2026 16:15,676906.6,677231.9,675883.5,676949.2,42.6,0.01,
01/02/2026 16:00,678791,679188,678153,678217,-574,-0.08,
01/02/2026 15:45,680966,681102,679990,680304,-662,-0.10,
01/02/2026 15:30,679508,680325,678800,680032,524,0.08,
01/02/2026 15:15,680276,680623,678499,678502,-1774,-0.26,
01/02/2026 15:00,682719,683368,679806,681397,-1322,-0.19,
01/02/2026 14:45,683347,684310,682948,683275,-72,-0.01,
01/02/2026 14:30,685109,685328,681991,682870,-2239,-0.33,
01/02/2026 14:15,685630,686095,685077,685077,-553,-0.08,
01/02/2026 14:00,685002,686074,684923,685628,626,0.09,
01/02/2026 13:45,685926,686623,684461,685003,-923,-0.13,
01/02/2026 13:30,686255,686704,685039,685972,-283,-0.04,
01/02/2026 13:15,690140,690554,686109,686214,-3926,-0.57,
