Time,Ticket,Symbol,Type,Direction,Volume,Price,S/L,T/P,Commission,Swap,Profit,Comment
2025.12.23 09:16,388370825,,BALANCE,IN,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,
2025.12.23 11:07,388396645,USDJPY,SELL,IN,0.01,155.662,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:07,388396664,USDJPY,SELL,IN,0.01,155.681,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:08,388396733,USDJPY,BUY,IN,0.01,155.72,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:08,388396860,USDJPY,BUY,OUT,0.01,155.697,0.0,0.0,0.0,0.0,-35.0,
2025.12.23 11:08,388396921,USDJPY,BUY,OUT,0.01,155.697,0.0,0.0,0.0,0.0,-16.0,
2025.12.23 11:08,388396946,USDJPY,SELL,OUT,0.01,155.672,0.0,0.0,0.0,0.0,-48.0,
2025.12.23 11:10,388397635,USDJPY,SELL,IN,0.01,155.683,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:10,388397639,USDJPY,SELL,IN,0.01,155.69,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:10,388397646,USDJPY,BUY,IN,0.01,155.719,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:10,388397654,USDJPY,BUY,IN,0.01,155.716,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:11,388397923,USDJPY,SELL,IN,0.01,155.697,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:12,388398036,USDJPY,BUY,OUT,0.01,155.768,0.0,0.0,0.0,0.0,-71.0,
2025.12.23 11:12,388398038,USDJPY,BUY,OUT,0.01,155.768,0.0,0.0,0.0,0.0,-78.0,
2025.12.23 11:12,388398040,USDJPY,BUY,OUT,0.01,155.771,0.0,0.0,0.0,0.0,-88.0,
2025.12.23 11:12,388398052,USDJPY,BUY,IN,0.01,155.771,0.0,0.0,0.0,0.0,0.0,
2025.12.23 11:36,388403803,USDJPY,SELL,OUT,0.01,155.927,0.0,0.0,0.0,0.0,211.0,
2025.12.23 11:36,388403819,USDJPY,SELL,OUT,0.01,155.927,0.0,0.0,0.0,0.0,208.0,
2025.12.23 11:36,388403823,USDJPY,SELL,OUT,0.01,155.927,0.0,0.0,0.0,0.0,156.0,
2025.12.23 11:42,388404649,USDJPY,BUY,IN,0.05,155.884,0.0,0.0,0.0,0.0,0.0,
2025.12.24 14:09,388771667,USDJPY,SELL,OUT,0.05,155.904,0.0,0.0,0.0,3.0,100.0,
2025.12.24 14:55,388779382,USDJPY,BUY,IN,0.01,155.982,0.0,0.0,0.0,0.0,0.0,Speedy_Buy_NoSL
2025.12.24 14:55,388779383,BTCJPY,BUY,IN,0.01,13639409.0,0.0,0.0,0.0,0.0,0.0,Speedy_Buy_NoSL
